starttime	seconds	ctime	dtime	ttime	wait
Tue Jul 08 23:39:43 2025	1752007183	0	577	577	576
Tue Jul 08 23:39:47 2025	1752007187	0	577	577	536
Tue Jul 08 23:39:38 2025	1752007178	0	578	578	353
Tue Jul 08 23:39:47 2025	1752007187	0	578	578	578
Tue Jul 08 23:39:47 2025	1752007187	0	580	580	565
Tue Jul 08 23:39:36 2025	1752007176	0	580	580	579
Tue Jul 08 23:39:45 2025	1752007185	0	580	580	560
Tue Jul 08 23:39:41 2025	1752007181	0	582	582	508
Tue Jul 08 23:39:36 2025	1752007176	0	582	582	582
Tue Jul 08 23:39:47 2025	1752007187	0	583	583	583
Tue Jul 08 23:39:46 2025	1752007186	1	583	584	562
Tue Jul 08 23:39:43 2025	1752007183	0	585	586	585
Tue Jul 08 23:39:47 2025	1752007187	0	586	586	563
Tue Jul 08 23:39:43 2025	1752007183	0	586	587	586
Tue Jul 08 23:39:46 2025	1752007186	0	587	587	587
Tue Jul 08 23:39:47 2025	1752007187	0	587	587	508
Tue Jul 08 23:39:42 2025	1752007182	0	587	587	586
Tue Jul 08 23:39:45 2025	1752007185	0	587	587	490
Tue Jul 08 23:39:44 2025	1752007184	0	587	587	587
Tue Jul 08 23:39:43 2025	1752007183	0	588	588	586
Tue Jul 08 23:39:43 2025	1752007183	1	587	588	587
Tue Jul 08 23:39:47 2025	1752007187	0	589	589	589
Tue Jul 08 23:39:42 2025	1752007182	0	590	590	589
Tue Jul 08 23:39:43 2025	1752007183	0	591	591	591
Tue Jul 08 23:39:44 2025	1752007184	0	591	591	591
Tue Jul 08 23:39:46 2025	1752007186	0	593	593	592
Tue Jul 08 23:39:37 2025	1752007177	0	594	594	593
Tue Jul 08 23:39:41 2025	1752007181	0	594	594	593
Tue Jul 08 23:39:36 2025	1752007176	1	593	595	589
Tue Jul 08 23:39:41 2025	1752007181	0	595	595	594
Tue Jul 08 23:39:44 2025	1752007184	0	595	595	593
Tue Jul 08 23:39:40 2025	1752007180	1	595	596	558
Tue Jul 08 23:39:47 2025	1752007187	0	596	596	595
Tue Jul 08 23:39:45 2025	1752007185	0	596	596	553
Tue Jul 08 23:39:42 2025	1752007182	0	597	597	595
Tue Jul 08 23:39:46 2025	1752007186	0	597	597	531
